epoch,lr-Adam/background,lr-Adam/geometry,step,train/grad_norm,train/loss_opaque,train/loss_orient,train/loss_sds,train/loss_sparsity,train/max_step,train/min_step,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_sds,train_params/lambda_sparsity
,0.001,0.01,0,,,,,,,,,,,
0,,,0,13.130664825439453,0.2549811005592346,0.020543687045574188,86.20718383789062,0.37561774253845215,980.0,20.0,0.0,10.0,1.0,1.0
,0.001,0.01,1,,,,,,,,,,,
0,,,1,25.436935424804688,0.23278462886810303,0.017655212432146072,323.5188903808594,0.328998863697052,980.0,20.0,0.0,10.197999954223633,1.0,1.0
,0.001,0.01,2,,,,,,,,,,,
0,,,2,21.966196060180664,0.1279798150062561,0.016193624585866928,241.25689697265625,0.2197401076555252,980.0,20.0,0.0,10.395999908447266,1.0,1.0
,0.001,0.01,3,,,,,,,,,,,
0,,,3,7.2171196937561035,0.11154604703187943,0.01664106361567974,26.043405532836914,0.20544788241386414,980.0,20.0,0.0,10.593999862670898,1.0,1.0
,0.001,0.01,4,,,,,,,,,,,
0,,,4,4.71591329574585,0.13301822543144226,0.016405250877141953,11.119918823242188,0.22486571967601776,980.0,20.0,0.0,10.791999816894531,1.0,1.0
,0.001,0.01,5,,,,,,,,,,,
0,,,5,61.79636764526367,0.18267221748828888,0.01845555379986763,1909.3955078125,0.28627175092697144,980.0,20.0,0.0,10.989999771118164,1.0,1.0
,0.001,0.01,6,,,,,,,,,,,
0,,,6,99.98231506347656,0.18047308921813965,0.02104707434773445,4998.2314453125,0.31910866498947144,980.0,20.0,0.0,11.187999725341797,1.0,1.0
,0.001,0.01,7,,,,,,,,,,,
0,,,7,24.03739356994629,0.2534184753894806,0.019955335184931755,288.89813232421875,0.3838459253311157,980.0,20.0,0.0,11.38599967956543,1.0,1.0
,0.001,0.01,8,,,,,,,,,,,
0,,,8,27.986722946166992,0.12225452065467834,0.019316526129841805,391.6283264160156,0.22464829683303833,980.0,20.0,0.0,11.583999633789062,1.0,1.0
,0.001,0.01,9,,,,,,,,,,,
0,,,9,53.801700592041016,0.11011048406362534,0.023828554898500443,1447.3115234375,0.25569984316825867,980.0,20.0,0.0,11.781999588012695,1.0,1.0
,0.001,0.01,10,,,,,,,,,,,
0,,,10,7.324705600738525,0.12142053246498108,0.016318170353770256,26.82565689086914,0.2128315418958664,980.0,20.0,0.0,11.979999542236328,1.0,1.0
,0.001,0.01,11,,,,,,,,,,,
0,,,11,13.496635437011719,0.18651993572711945,0.01781480759382248,91.07958984375,0.2852103114128113,980.0,20.0,0.0,12.178000450134277,1.0,1.0
,0.001,0.01,12,,,,,,,,,,,
0,,,12,91.89887237548828,0.11233213543891907,0.016323301941156387,4222.701171875,0.20434385538101196,980.0,20.0,0.0,12.37600040435791,1.0,1.0
,0.001,0.01,13,,,,,,,,,,,
0,,,13,15.52011489868164,0.13881626725196838,0.016481127589941025,120.43698120117188,0.23166874051094055,980.0,20.0,0.0,12.574000358581543,1.0,1.0
,0.001,0.01,14,,,,,,,,,,,
0,,,14,9.280570030212402,0.10788314044475555,0.016583923250436783,43.064491271972656,0.20114146173000336,980.0,20.0,0.0,12.772000312805176,1.0,1.0
,0.001,0.01,15,,,,,,,,,,,
0,,,15,21.68572235107422,0.196061909198761,0.017740340903401375,235.13531494140625,0.2947266697883606,980.0,20.0,0.0,12.970000267028809,1.0,1.0
,0.001,0.01,16,,,,,,,,,,,
0,,,16,2.569378137588501,0.2536839544773102,0.020809557288885117,3.300852060317993,0.38675934076309204,980.0,20.0,0.0,13.168000221252441,1.0,1.0
,0.001,0.01,17,,,,,,,,,,,
0,,,17,33.64606475830078,0.25685757398605347,0.019530948251485825,566.02880859375,0.36263710260391235,980.0,20.0,0.0,13.366000175476074,1.0,1.0
,0.001,0.01,18,,,,,,,,,,,
0,,,18,23.38528060913086,0.24361026287078857,0.017966974526643753,273.4356689453125,0.3340453505516052,980.0,20.0,0.0,13.564000129699707,1.0,1.0
,0.001,0.01,19,,,,,,,,,,,
0,,,19,16.461748123168945,0.12862291932106018,0.017008598893880844,135.49456787109375,0.22188054025173187,980.0,20.0,0.0,13.76200008392334,1.0,1.0
,0.001,0.01,20,,,,,,,,,,,
0,,,20,26.28746795654297,0.33862459659576416,0.018551386892795563,345.5155334472656,0.43478068709373474,980.0,20.0,0.0,13.960000038146973,1.0,1.0
,0.001,0.01,21,,,,,,,,,,,
0,,,21,40.99843215942383,0.3280057907104492,0.023411797359585762,840.4356689453125,0.5098733901977539,980.0,20.0,0.0,14.157999992370605,1.0,1.0
,0.001,0.01,22,,,,,,,,,,,
0,,,22,45.95967102050781,0.1677907556295395,0.016916567459702492,1056.1456298828125,0.26086604595184326,980.0,20.0,0.0,14.355999946594238,1.0,1.0
,0.001,0.01,23,,,,,,,,,,,
0,,,23,65.67801666259766,0.16963277757167816,0.019529694691300392,2156.80078125,0.28568392992019653,980.0,20.0,0.0,14.553999900817871,1.0,1.0
,0.001,0.01,24,,,,,,,,,,,
0,,,24,3.639863967895508,0.14575204253196716,0.01669570617377758,6.62430477142334,0.23666433990001678,980.0,20.0,0.0,14.751999855041504,1.0,1.0
,0.001,0.01,25,,,,,,,,,,,
0,,,25,11.338274002075195,0.28959158062934875,0.018779834732413292,64.27823638916016,0.3948602080345154,980.0,20.0,0.0,14.949999809265137,1.0,1.0
,0.001,0.01,26,,,,,,,,,,,
0,,,26,46.859092712402344,0.13898319005966187,0.016332151368260384,1097.88720703125,0.2280496060848236,980.0,20.0,0.0,15.14799976348877,1.0,1.0
,0.001,0.01,27,,,,,,,,,,,
0,,,27,279.7344665527344,0.18185922503471375,0.016516661271452904,39125.68359375,0.27110862731933594,980.0,20.0,0.0,15.345999717712402,1.0,1.0
,0.001,0.01,28,,,,,,,,,,,
0,,,28,28.820133209228516,0.32161784172058105,0.022623473778367043,415.300048828125,0.48801445960998535,980.0,20.0,0.0,15.543999671936035,1.0,1.0
,0.001,0.01,29,,,,,,,,,,,
0,,,29,72.64591217041016,0.3748413026332855,0.020512651652097702,2638.71435546875,0.48840636014938354,980.0,20.0,0.0,15.741999626159668,1.0,1.0
,0.001,0.01,30,,,,,,,,,,,
0,,,30,33.109981536865234,0.20860686898231506,0.018174998462200165,548.135498046875,0.30669093132019043,980.0,20.0,0.0,15.9399995803833,1.0,1.0
,0.001,0.01,31,,,,,,,,,,,
0,,,31,28.300519943237305,0.297373503446579,0.021421698853373528,400.4596862792969,0.44263190031051636,980.0,20.0,0.0,16.13800048828125,1.0,1.0
,0.001,0.01,32,,,,,,,,,,,
0,,,32,24.719833374023438,0.1499985158443451,0.02210656926035881,305.53509521484375,0.2856377959251404,980.0,20.0,0.0,16.336000442504883,1.0,1.0
,0.001,0.01,33,,,,,,,,,,,
0,,,33,31.492799758911133,0.2520294189453125,0.0209853183478117,495.898193359375,0.37369731068611145,980.0,20.0,0.0,16.534000396728516,1.0,1.0
,0.001,0.01,34,,,,,,,,,,,
0,,,34,11.917913436889648,0.280315637588501,0.018251964822411537,71.01832580566406,0.3751187324523926,980.0,20.0,0.0,16.73200035095215,1.0,1.0
,0.001,0.01,35,,,,,,,,,,,
0,,,35,11.045331001281738,0.26155686378479004,0.017468204721808434,60.999671936035156,0.3513264060020447,980.0,20.0,0.0,16.93000030517578,1.0,1.0
,0.001,0.01,36,,,,,,,,,,,
0,,,36,126.41796112060547,0.25849077105522156,0.019483640789985657,7990.74951171875,0.3652884364128113,980.0,20.0,0.0,17.128000259399414,1.0,1.0
,0.001,0.01,37,,,,,,,,,,,
0,,,37,122.98072052001953,0.22180837392807007,0.017119793221354485,7562.12890625,0.31157761812210083,980.0,20.0,0.0,17.326000213623047,1.0,1.0
,0.001,0.01,38,,,,,,,,,,,
0,,,38,148.11077880859375,0.20129117369651794,0.022099150344729424,10968.4013671875,0.34683752059936523,980.0,20.0,0.0,17.52400016784668,1.0,1.0
,0.001,0.01,39,,,,,,,,,,,
0,,,39,27.738370895385742,0.14975540339946747,0.01717936247587204,384.7085876464844,0.24227216839790344,980.0,20.0,0.0,17.722000122070312,1.0,1.0
,0.001,0.01,40,,,,,,,,,,,
0,,,40,12.047130584716797,0.10510475933551788,0.017257027328014374,72.56666564941406,0.1978648602962494,980.0,20.0,0.0,17.920000076293945,1.0,1.0
,0.001,0.01,41,,,,,,,,,,,
0,,,41,35.526424407958984,0.2364465892314911,0.022110139951109886,631.0633544921875,0.374295175075531,980.0,20.0,0.0,18.118000030517578,1.0,1.0
,0.001,0.01,42,,,,,,,,,,,
0,,,42,18.660263061523438,0.24304991960525513,0.017512613907456398,174.1027374267578,0.33638298511505127,980.0,20.0,0.0,18.31599998474121,1.0,1.0
,0.001,0.01,43,,,,,,,,,,,
0,,,43,20.171314239501953,0.14308077096939087,0.016680678352713585,203.44094848632812,0.23204508423805237,980.0,20.0,0.0,18.513999938964844,1.0,1.0
,0.001,0.01,44,,,,,,,,,,,
0,,,44,25.87312889099121,0.17258936166763306,0.01721472106873989,334.70941162109375,0.2658799886703491,980.0,20.0,0.0,18.711999893188477,1.0,1.0
,0.001,0.01,45,,,,,,,,,,,
0,,,45,26.682519912719727,0.15705949068069458,0.016856931149959564,355.97845458984375,0.24550148844718933,980.0,20.0,0.0,18.90999984741211,1.0,1.0
,0.001,0.01,46,,,,,,,,,,,
0,,,46,6.575873851776123,0.17055684328079224,0.020869825035333633,21.62105941772461,0.2865889072418213,980.0,20.0,0.0,19.107999801635742,1.0,1.0
,0.001,0.01,47,,,,,,,,,,,
0,,,47,34.84677505493164,0.14491119980812073,0.017147941514849663,607.1488647460938,0.23703397810459137,980.0,20.0,0.0,19.305999755859375,1.0,1.0
,0.001,0.01,48,,,,,,,,,,,
