epoch,lr-Adam,step,train/loss,train/loss_ref,train/loss_ref_3d_normal_smooth,train/loss_ref_3d_normal_smooth_w,train/loss_ref_mask,train/loss_ref_mask_w,train/loss_ref_normal_smooth,train/loss_ref_normal_smooth_w,train/loss_ref_opaque,train/loss_ref_opaque_w,train/loss_ref_orient,train/loss_ref_orient_w,train/loss_ref_rgb,train/loss_ref_rgb_w,train/loss_zero123,train/loss_zero123_3d_normal_smooth,train/loss_zero123_3d_normal_smooth_w,train/loss_zero123_normal_smooth,train/loss_zero123_normal_smooth_w,train/loss_zero123_opaque,train/loss_zero123_opaque_w,train/loss_zero123_orient,train/loss_zero123_orient_w,train/loss_zero123_sds,train/loss_zero123_sds_w,train/loss_zero123_sparsity,train/loss_zero123_sparsity_w,train_params/lambda_3d_normal_smooth,train_params/lambda_depth,train_params/lambda_depth_rel,train_params/lambda_mask,train_params/lambda_normal,train_params/lambda_normal_smooth,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds,train_params/lambda_sparsity
,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,38.09576416015625,29.2617130279541,0.014124649576842785,0.09887254983186722,0.1398647576570511,6.9932379722595215,0.00023690832313150167,0.0016583582619205117,0.2862740457057953,0.14313702285289764,0.01783422753214836,0.01783422753214836,0.04401394724845886,22.006973266601562,8.834052085876465,0.014101112261414528,0.09870778769254684,0.0008645267225801945,0.006051687058061361,0.28726181387901306,0.14363090693950653,0.01781492494046688,0.01781492494046688,83.69847869873047,8.369848251342773,0.3959958255290985,0.19799791276454926,7.0,0.0,0.0,50.0,0.0,7.0,0.5,1.0,500.0,0.10000000149011612,0.5
,0.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,40.7894287109375,29.284481048583984,0.027709314599633217,0.19396519660949707,0.1396954208612442,6.984771251678467,0.0002397889766143635,0.0016785227926447988,0.2861672341823578,0.1430836170911789,0.017889872193336487,0.017889872193336487,0.04388618469238281,21.943092346191406,11.504949569702148,0.027670549228787422,0.1936938464641571,0.0009075143607333302,0.006352600641548634,0.28756439685821533,0.14378219842910767,0.017916949465870857,0.017916949465870857,109.45346069335938,10.945345878601074,0.3957163095474243,0.19785815477371216,7.0,0.0,0.0,50.0,0.0,7.0,0.5,1.0,500.0,0.10000000149011612,0.5
,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,43.01118469238281,29.14260482788086,0.0288337804377079,0.2018364667892456,0.13946233689785004,6.973116874694824,0.00024073064560070634,0.0016851145774126053,0.2861365079879761,0.14306825399398804,0.017914213240146637,0.017914213240146637,0.043609969317913055,21.80498504638672,13.868581771850586,0.02884025126695633,0.2018817663192749,0.0009548098314553499,0.006683669053018093,0.28689348697662354,0.14344674348831177,0.01784636825323105,0.01784636825323105,133.01036071777344,13.30103588104248,0.39537692070007324,0.19768846035003662,7.0,0.0,0.0,50.0,0.0,7.0,0.5,1.0,500.0,0.10000000149011612,0.5
,0.01,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,3,34.388946533203125,28.817157745361328,0.022367941215634346,0.15657559037208557,0.13912130892276764,6.956065654754639,0.00023865976254455745,0.0016706183087080717,0.28608405590057373,0.14304202795028687,0.017883049324154854,0.017883049324154854,0.04308383911848068,21.541919708251953,5.57179069519043,0.022383499890565872,0.1566845029592514,0.0008713947609066963,0.006099763326346874,0.2868863344192505,0.14344316720962524,0.017961733043193817,0.017961733043193817,50.50162887573242,5.0501627922058105,0.39487800002098083,0.19743900001049042,7.0,0.0,0.0,50.0,0.0,7.0,0.5,1.0,500.0,0.10000000149011612,0.5
,0.01,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,4,41.62144470214844,28.27037811279297,0.024769926443696022,0.1733894795179367,0.13858970999717712,6.929485321044922,0.00024027671315707266,0.001681937021203339,0.2859926223754883,0.14299631118774414,0.017906034365296364,0.017906034365296364,0.04200983792543411,21.004919052124023,13.351065635681152,0.02490580826997757,0.17434066534042358,0.0008986960165202618,0.006290872115641832,0.28683406114578247,0.14341703057289124,0.017934395000338554,0.017934395000338554,128.12078857421875,12.812079429626465,0.3940076529979706,0.1970038264989853,7.0,0.0,0.0,50.0,0.0,7.0,0.5,1.0,500.0,0.10000000149011612,0.5
,0.01,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
